Indicadores municipales de sostenibilidad: Superficie municipal de especial protección (% superficie total);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48034;Ermua;16,19;16,19;16,19;16,19;16,19;16,19;16,19;16,19;3,67;3,67;3,67;3,67;3,84;3,84;3,84;3,84;3,84
20067;Errenteria;21,17;21,17;21,17;21,15;21,15;21,15;21,15;21,14;21,14;21,14;21,13;21,13;20,90;21,14;21,14;21,14;21,14
20066;Errezil;32,79;32,79;55,06;55,06;55,06;55,06;55,07;55,07;54,98;54,98;55,00;54,98;54,51;54,95;54,95;54,95;54,96
01046;Erriberagoitia/Ribera Alta;16,02;16,02;16,02;16,02;16,02;16,02;15,98;15,98;15,98;15,98;15,98;15,98;16,02;16,02;16,02;16,02;16,01
48079;Errigoiti;3,94;3,94;3,99;3,99;3,99;3,99;3,99;3,99;3,97;3,97;3,97;3,97;3,99;3,99;3,99;3,99;3,99
20034;Eskoriatza;15,54;15,54;15,54;15,54;15,54;15,54;15,54;15,54;15,54;15,54;15,54;16,42;16,35;16,35;16,35;16,35;35,22
48029;Etxebarri;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48030;Etxebarria;17,96;17,96;17,96;17,65;17,65;17,65;17,65;17,30;17,30;17,30;17,52;17,52;17,63;17,34;17,34;17,35;17,35
20035;Ezkio-Itsaso;14,06;14,06;14,06;14,06;14,06;14,06;14,06;14,05;14,05;14,05;14,07;14,07;14,07;14,07;14,07;14,07;14,32
48906;Forua;31,51;31,51;31,51;31,51;31,51;31,51;31,51;31,51;31,51;31,49;31,64;32,41;30,44;30,06;30,06;30,06;30,06
48035;Fruiz;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,28;21,02;21,39;21,39;21,38;21,46
20038;Gabiria;14,96;14,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20037;Gaintza;3,83;3,83;3,83;3,83;3,83;3,83;3,83;3,82;3,82;3,82;3,82;3,82;3,77;3,77;3,77;3,77;3,77
48036;Galdakao;6,94;6,94;6,94;6,94;6,94;6,94;6,94;6,94;7,02;7,02;7,02;7,02;6,93;6,93;6,93;6,90;6,90
48037;Galdames;30,32;30,32;30,32;30,32;30,32;30,32;30,32;30,32;30,32;30,32;28,93;28,93;28,91;28,85;28,85;28,85;28,85
48038;Gamiz-Fika;14,04;14,04;14,04;14,04;14,04;14,04;14,09;14,09;13,85;13,85;13,85;13,85;13,61;13,61;13,45;13,45;6,92
48039;Garai;25,57;25,57;25,57;25,57;25,57;25,55;25,59;25,59;25,59;25,59;25,59;25,59;25,73;25,73;25,73;25,61;25,61
48040;Gatika;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,67;6,62;6,70;6,70;6,70;6,77
48041;Gautegiz Arteaga;70,67;70,67;70,53;70,53;70,53;70,53;70,53;70,53;70,62;70,62;70,78;70,67;70,79;70,79;70,79;70,68;70,68
20907;Gaztelu;6,87;6,87;6,87;6,87;6,87;6,87;6,87;6,87;6,87;5,29;5,29;5,29;5,34;5,52;5,47;5,47;5,47
